1;2;3;4;5;67
1315001;SPLog;SPLog Standard;SP;SPC;15
1316000;SPLog;SPLog Standard;SP;SPC;15
1316001;SPLog;SPLog Standard;SP;SPC;15
1316010;SPLog;SPLog Standard;SP;SPC;15
1317000;SPLog;SPLog Standard;SP;SPC;15
1317001;SPLog;SPLog Standard;SP;SPC;15
1317902;SPLog;SPLog Standard;SP;SPC;15
1318000;SPLog;SPLog Standard;SP;SPC;15
1318002;SPLog;SPLog Standard;SP;SPC;15
1318909;SPLog;SPLog Standard;SP;SPC;15
1319000;SPLog;SPLog Standard;SP;SPC;15
1319001;SPLog;SPLog Standard;SP;SPC;15
1319010;SPLog;SPLog Standard;SP;SPC;15
1319030;SPLog;SPLog Standard;SP;SPC;15
1319070;SPLog;SPLog Standard;SP;SPC;15
1319900;SPLog;SPLog Standard;SP;SPC;15
1320000;SPLog;SPLog Standard;SP;SPC;15
1321000;SPLog;SPLog Standard;SP;SPC;15
1321001;SPLog;SPLog Standard;SP;SPC;15
1321010;SPLog;SPLog Standard;SP;SPC;15
1321903;SPLog;SPLog Standard;SP;SPC;15
1322000;SPLog;SPLog Standard;SP;SPC;15
1322020;SPLog;SPLog Standard;SP;SPC;15
1322050;SPLog;SPLog Standard;SP;SPC;15
1323001;SPLog;SPLog Standard;SP;SPC;15
1323010;SPLog;SPLog Standard;SP;SPC;15
1323020;SPLog;SPLog Standard;SP;SPC;15
1323050;SPLog;SPLog Standard;SP;SPC;15
1323130;SPLog;SPLog Standard;SP;SPC;15
1324000;SPLog;SPLog Standard;SP;SPC;15
1324001;SPLog;SPLog Standard;SP;SPC;15
1325000;SPLog;SPLog Standard;SP;SPC;15
1326010;SPLog;SPLog Standard;SP;SPC;15
1327001;SPLog;SPLog Standard;SP;SPC;15
1327002;SPLog;SPLog Standard;SP;SPC;15
1328010;SPLog;SPLog Standard;SP;SPC;15
1329000;SPLog;SPLog Standard;SP;SPC;15
1329010;SPLog;SPLog Standard;SP;SPC;15
1330000;SPLog;SPLog Standard;SP;SPC;15
1330010;SPLog;SPLog Standard;SP;SPC;15
1331000;SPLog;SPLog Standard;SP;SPC;15
1331001;SPLog;SPLog Standard;SP;SPC;15
1331010;SPLog;SPLog Standard;SP;SPC;15
1331020;SPLog;SPLog Standard;SP;SPC;15
1332000;SPLog;SPLog Standard;SP;SPC;15
1332010;SPLog;SPLog Standard;SP;SPC;15
1332020;SPLog;SPLog Standard;SP;SPC;15
1332903;SPLog;SPLog Standard;SP;SPC;15
1333000;SPLog;SPLog Standard;SP;SPC;15
1333001;SPLog;SPLog Standard;SP;SPC;15
1333011;SPLog;SPLog Standard;SP;SPC;15
1333020;SPLog;SPLog Standard;SP;SPC;15
1333021;SPLog;SPLog Standard;SP;SPC;15
1333030;SPLog;SPLog Standard;SP;SPC;15
1333901;SPLog;SPLog Standard;SP;SPC;15
1401000;SPLog;SPLog Standard;SP;SPC;15
1401001;SPLog;SPLog Standard;SP;SPC;15
1402000;SPLog;SPLog Standard;SP;SPC;15
1402002;SPLog;SPLog Standard;SP;SPC;15
1403000;SPLog;SPLog Standard;SP;SPC;15
1403001;SPLog;SPLog Standard;SP;SPC;15
1403002;SPLog;SPLog Standard;SP;SPC;15
1403003;SPLog;SPLog Standard;SP;SPC;15
1403010;SPLog;SPLog Standard;SP;SPC;15
1403020;SPLog;SPLog Standard;SP;SPC;15
1403902;SPLog;SPLog Standard;SP;SPC;15
1404000;SPLog;SPLog Standard;SP;SPC;15
1404001;SPLog;SPLog Standard;SP;SPC;15
1405000;SPLog;SPLog Standard;SP;SPC;15
1405001;SPLog;SPLog Standard;SP;SPC;15
1405002;SPLog;SPLog Standard;SP;SPC;15
1405100;SPLog;SPLog Standard;SP;SPC;15
1405903;SPLog;SPLog Standard;SP;SPC;15
1406000;SPLog;SPLog Standard;SP;SPC;15
1406200;SPLog;SPLog Standard;SP;SPC;15
1407100;SPLog;SPLog Standard;SP;SPC;15
1407200;SPLog;SPLog Standard;SP;SPC;15
1408000;SPLog;SPLog Standard;SP;SPC;15
1408001;SPLog;SPLog Standard;SP;SPC;15
1408030;SPLog;SPLog Standard;SP;SPC;15
1408040;SPLog;SPLog Standard;SP;SPC;15
1409000;SPLog;SPLog Standard;SP;SPC;15
1409001;SPLog;SPLog Standard;SP;SPC;15
1409002;SPLog;SPLog Standard;SP;SPC;15
1409003;SPLog;SPLog Standard;SP;SPC;15
1410000;SPLog;SPLog Standard;SP;SPC;15
1410001;SPLog;SPLog Standard;SP;SPC;15
1410002;SPLog;SPLog Standard;SP;SPC;15
1410003;SPLog;SPLog Standard;SP;SPC;15
1410020;SPLog;SPLog Standard;SP;SPC;15
1411000;SPLog;SPLog Standard;SP;SPC;15
1411001;SPLog;SPLog Standard;SP;SPC;15
1411010;SPLog;SPLog Standard;SP;SPC;15
1411011;SPLog;SPLog Standard;SP;SPC;15
1412000;SPLog;SPLog Standard;SP;SPC;15
1413000;SPLog;SPLog Standard;SP;SPC;15
1414000;SPLog;SPLog Standard;SP;SPC;15
1414001;SPLog;SPLog Standard;SP;SPC;15
1414002;SPLog;SPLog Standard;SP;SPC;15
1414003;SPLog;SPLog Standard;SP;SPC;15
1415000;SPLog;SPLog Standard;SP;SPC;15
1415001;SPLog;SPLog Standard;SP;SPC;15
1415002;SPLog;SPLog Standard;SP;SPC;15
1415004;SPLog;SPLog Standard;SP;SPC;15
1415007;SPLog;SPLog Standard;SP;SPC;15
1415008;SPLog;SPLog Standard;SP;SPC;15
1415009;SPLog;SPLog Standard;SP;SPC;15
1415010;SPLog;SPLog Standard;SP;SPC;15
1416000;SPLog;SPLog Standard;SP;SPC;15
1416001;SPLog;SPLog Standard;SP;SPC;15
1417010;SPLog;SPLog Standard;SP;SPC;15
1417020;SPLog;SPLog Standard;SP;SPC;15
1418000;SPLog;SPLog Standard;SP;SPC;15
1418100;SPLog;SPLog Standard;SP;SPC;15
1418200;SPLog;SPLog Standard;SP;SPC;15
1419001;SPLog;SPLog Standard;SP;SPC;15
1419002;SPLog;SPLog Standard;SP;SPC;15
1419010;SPLog;SPLog Standard;SP;SPC;15
1419100;SPLog;SPLog Standard;SP;SPC;15
1419101;SPLog;SPLog Standard;SP;SPC;15
1420000;SPLog;SPLog Standard;SP;SPC;15
1420001;SPLog;SPLog Standard;SP;SPC;15
1420002;SPLog;SPLog Standard;SP;SPC;15
1420003;SPLog;SPLog Standard;SP;SPC;15
1420004;SPLog;SPLog Standard;SP;SPC;15
1420005;SPLog;SPLog Standard;SP;SPC;15
1421000;SPLog;SPLog Standard;SP;SPC;15
1421001;SPLog;SPLog Standard;SP;SPC;15
1421010;SPLog;SPLog Standard;SP;SPC;15
1422000;SPLog;SPLog Standard;SP;SPC;15
1422001;SPLog;SPLog Standard;SP;SPC;15
1422002;SPLog;SPLog Standard;SP;SPC;15
1422005;SPLog;SPLog Standard;SP;SPC;15
1423000;SPLog;SPLog Standard;SP;SPC;15
1423001;SPLog;SPLog Standard;SP;SPC;15
1423002;SPLog;SPLog Standard;SP;SPC;15
1423003;SPLog;SPLog Standard;SP;SPC;15
1423010;SPLog;SPLog Standard;SP;SPC;15
1423911;SPLog;SPLog Standard;SP;SPC;15
1424000;SPLog;SPLog Standard;SP;SPC;15
1424001;SPLog;SPLog Standard;SP;SPC;15
1424002;SPLog;SPLog Standard;SP;SPC;15
1424007;SPLog;SPLog Standard;SP;SPC;15
1424908;SPLog;SPLog Standard;SP;SPC;15
1425000;SPLog;SPLog Standard;SP;SPC;15
1425001;SPLog;SPLog Standard;SP;SPC;15
1425080;SPLog;SPLog Standard;SP;SPC;15
1426000;SPLog;SPLog Standard;SP;SPC;15
1426001;SPLog;SPLog Standard;SP;SPC;15
1426002;SPLog;SPLog Standard;SP;SPC;15
1426020;SPLog;SPLog Standard;SP;SPC;15
1426900;SPLog;SPLog Standard;SP;SPC;15
1427000;SPLog;SPLog Standard;SP;SPC;15
1427001;SPLog;SPLog Standard;SP;SPC;15
1427002;SPLog;SPLog Standard;SP;SPC;15
1429000;SPLog;SPLog Standard;SP;SPC;15
1429011;SPLog;SPLog Standard;SP;SPC;15
1430001;SPLog;SPLog Standard;SP;SPC;15
1432000;SPLog;SPLog Standard;SP;SPC;15
1432010;SPLog;SPLog Standard;SP;SPC;15
1432030;SPLog;SPLog Standard;SP;SPC;15
1433020;SPLog;SPLog Standard;SP;SPC;15
1435001;SPLog;SPLog Standard;SP;SPC;15
1436100;SPLog;SPLog Standard;SP;SPC;15
1440000;SPLog;SPLog Standard;SP;SPC;15
1440020;SPLog;SPLog Standard;SP;SPC;15
1440030;SPLog;SPLog Standard;SP;SPC;15
1440903;SPLog;SPLog Standard;SP;SPC;15
1441001;SPLog;SPLog Standard;SP;SPC;15
1441010;SPLog;SPLog Standard;SP;SPC;15
