22451040; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
69919182; Jadlog; N; AC; RIO BRANCO; Capital; 15; 14,31
85420000; Jadlog; S; PR; CORBELIA; Interior; 6; 41,37
23914410; Jadlog; SE; RJ; ANGRA DOS REIS; Capital; 3; 12,51
36037010; Jadlog; SE; MG; JUIZ DE FORA; Capital; 3; 12,51
22260100; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
70390135; Jadlog; CO; DF; BRASILIA; Capital; 2; 13,15
30190111; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
87020110; Jadlog; S; PR; MARINGA; Capital; 2; 12,51
17700000; Jadlog; SE; SP; OSVALDO CRUZ; Capital; 3; 12,51
11020170; Jadlog; SE; SP; SANTOS; Capital; 2; 12,51
31275050; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
30662470; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
81550320; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
85805290; Jadlog; S; PR; CASCAVEL; Capital; 3; 12,51
80540180; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
3227090; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
5021010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
87309123; Jadlog; S; PR; CAMPO MOURAO; Capital; 3; 12,51
66023730; Jadlog; N; PA; BELEM; Capital; 6; 13,55
8501050; Jadlog; SE; SP; FERRAZ DE VASCONCELOS; Interior; 3; 41,37
97501710; Jadlog; S; RS; URUGUAIANA; Capital; 4; 12,83
62770000; Jadlog; NE; CE; PACOTI; Interior; 12; 47,37
87300020; Jadlog; S; PR; CAMPO MOURAO; Capital; 3; 12,51
30130090; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
90460110; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
88037060; Jadlog; S; SC; FLORIANOPOLIS; Capital; 2; 12,44
70740704; Jadlog; CO; DF; BRASILIA; Capital; 2; 13,15
89221020; Jadlog; S; SC; JOINVILLE; Capital; 2; 12,44
20230040; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 3; 12,51
93042082; Jadlog; S; RS; SAO LEOPOLDO; Capital; 3; 12,83
4120080; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
24230220; Jadlog; SE; RJ; NITEROI; Capital; 3; 12,51
7175220; Jadlog; SE; SP; GUARULHOS; Capital; 2; 12,51
11045200; Jadlog; SE; SP; SANTOS; Capital; 2; 12,51
29102902; Jadlog; SE; ES; VILA VELHA; Capital; 3; 13,15
1322000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
